title,price,rating,location,duration,category,lon,lat
Kayaking In Mumbai,300.0,4.0,Mumbai,,kayaking,73.2002087,18.4057277
Kayaking in Chennai,1149.0,4.0,Chennai,1H,kayaking,80.0689252,13.0474878
Kayaking in Chikmagalur,499.0,4.0,Chikmagalur,2H,kayaking,75.737429,13.3131108
Kayaking in Rishikesh @ 20% off | Book & Get 700 Cashback!,2400.0,4.0,Rishikesh,3H,kayaking,,
Kayaking In Mysore,499.0,5.0,Mysore,,kayaking,76.7421082,12.2744216
Kayaking in Bhimtal Book Online & Save 14%,300.0,5.0,Bhimtal,,kayaking,,
Kayaking in Nainital Book Online & Save 28%,250.0,4.0,Nainital,,kayaking,,
Kayaking in Dandeli,300.0,4.0,Dandeli,1H,kayaking,74.5997723,15.2361181
Kayaking in Mumbai,850.0,4.0,Mumbai,1H,kayaking,,
Backwater Kayaking in Munnar,499.0,4.0,Munnar,1H,kayaking,,
Kayaking in Coorg,350.0,4.0,Coorg,,kayaking,75.7173603,12.4314275
Canoeing in Alleppey I Book Online @ Flat 30% off,1350.0,5.0,Alleppey,3H,kayaking,,
Motorcycle Expedition in the Mystical Northeast,23999.0,5.0,Guwahati,5D/4N,kayaking,,
Stand Up Paddle Boarding & Sea Kayaking In Rameshwaram,6150.0,3.0,Rameswaram,2D/1N,kayaking,,
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,kayaking,,
Kathadi & Rameshwaram Tour Package,7655.0,4.0,Rameswaram,2D/1N,kayaking,,
Kayaking in Goas Baga Creek,1099.0,4.0,North Goa,1H,kayaking,,
Adventure Trio in Thekkady Bike Hike Kayak,4400.0,4.0,Thekkady,9H,kayaking,,
Kayaking in Kovalam Kerala Flat 20% off,2350.0,4.0,Kovalam,,kayaking,,
Kayaking Class and Training Kochi Flat 25% off,1450.0,4.0,Kochi,,kayaking,,
Rafting in Rishikesh,280.0,5.0,Rishikesh,2H,rafting,,
Beach Camping in Rishikesh with Rafting,749.0,4.0,Rishikesh,2D/1N,rafting,,
Rishikesh Camping With Rafting,1350.0,4.0,Rishikesh,2D/1N,rafting,,
River Rafting in Kullu,299.0,4.0,Kullu,,rafting,77.0937828,31.9545843
Arunachal Pradesh with Tawang Special Package 2022,19750.0,5.0,,8D/7N,rafting,,
Dubare River Rafting Coorg,249.0,4.0,Coorg,,rafting,,
Lake Rafting Near Mysore,128.0,5.0,Mysore,,rafting,76.5656493,12.3106368
Bhadra River Rafting Chikmagalur,1200.0,4.0,Chikmagalur,1H,rafting,75.737429,13.3131108
Bhadra River Rafting,1200.0,5.0,Chikmagalur,1H,rafting,,
Barapole River Rafting,790.0,4.0,Coorg,1H,rafting,,
Bhutan Rafting & Hiking Tour,81000.0,4.0,Paro,9D/8N,rafting,,
Trishuli River Rafting in Kathmandu Book @ Flat 20% off,2650.0,4.0,Kathmandu,2H,rafting,,
Camping in Forests of Kullu: Rafting and Paragliding Special,1400.0,4.0,Kullu,2D/1N,rafting,,
White Water Rafting in Queenstown Book Now @ Flat 10% off,10207.0,4.0,Queenstown,5H,rafting,,
Camping in Manali with Rafting,1080.0,5.0,Manali,2D/1N,rafting,,
Jungle Camping in Rishikesh with Rafting,1230.0,4.0,Rishikesh,2D/1N,rafting,78.2005685,30.0876602
Camping in Rishikesh with Rafting,800.0,4.0,Rishikesh,2D/1N,rafting,,
Dudhsagar Trek and Dandeli Rafting Tour,4900.0,4.0,Bangalore,2D/1N,rafting,,
White Water Rafting at Ayung River Bali,1021.0,5.0,Kuta,5H,rafting,,
Rishikesh Rafting Camp In Shivpuri,1050.0,4.0,Rishikesh,2D/1N,rafting,78.3805095,30.1347166
Camping In Auli,2550.0,4.0,Auli,3D/2N,camping,,
Camping with Waterfall Trek and Paragliding,2350.0,4.0,,3D/2N,camping,,
Pawna Lake Camping,900.0,4.0,Lonavala,2D/1N,camping,73.3834336,18.6596236
Nallamalai Jungle Camp Hyderabad,4000.0,5.0,Hyderabad,,camping,,
Igatpuri Camping,1199.0,4.0,Igatpuri,2D/1N,camping,,
Q Mango Forest Adventure Camp,1500.0,4.0,Ramanagara,2D/1N,camping,,
Beach Camping in Rishikesh with Rafting,749.0,4.0,Rishikesh,2D/1N,camping,,
Camping with Activities in Morena Gwalior Flat 50% off,1099.0,4.0,Gwalior,2D/1N,camping,,
Bhandardara Camping,999.0,4.0,Bhandardara,2D/1N,camping,73.7203604,19.5454392
Kundalika Rafting Camp,1750.0,4.0,Kolad,2D/1N,camping,,
Rishikesh Camping With Rafting,1350.0,4.0,Rishikesh,2D/1N,camping,,
Nature Adventure Camp In Kanakapura,1050.0,4.0,Kanakpura,2D/1N,camping,77.4008796,12.5453979
Ramanagara Camping With Adventure Activities,1130.0,4.0,Bangalore,2D/1N,camping,77.2668972,12.714359
Camping with Multiple Adventure Activities Gwalior Flat 50% off,1100.0,4.0,Gwalior,2D/1N,camping,,
Suryanelli Camping Munnar,1100.0,4.0,Munnar,2D/1N,camping,,
Adventure Camping in Bhopal,1500.0,4.0,Bhopal,2D/1N,camping,,
Luxury Desert Camping In Jaisalmer,1840.0,4.0,Jaisalmer,2D/1N,camping,,
Camping in Jaisalmer with Jeep Safari,1850.0,4.0,Jaisalmer,2D/1N,camping,70.8246899,26.9035615
A Peaceful Stay in Mud Houses in Tirthan Valley,700.0,4.0,Kullu,,camping,,
Sam Desert Camping in Jaisalmer,1899.0,4.0,Jaisalmer,2D/1N,camping,,
Auli Skiing Special Tour,13000.0,4.0,Auli,3D/2N,skiing,79.5509492,30.5305165
Skiing in Auli Flat 26% off,615.0,5.0,Auli,,skiing,,
Narkanda Skiing | Book Online & Get 800 Cashback!,1200.0,4.0,Narkanda,2H,skiing,,
Skiing In Manali At Solang Valley,575.0,4.0,Manali,,skiing,,
Skiing In Kufri,1750.0,4.0,Shimla,1H,skiing,77.2501836,31.100357
Camping with Multiple Adventure Activities Gwalior Flat 50% off,1100.0,4.0,Gwalior,2D/1N,cycling,,
Camping And Cycling Tour In Wayanad,3099.0,4.0,Wayanad,2D/1N,cycling,,
Pondicherry Cycle Tour,1399.0,4.0,Pondicherry,3H,cycling,79.7785085,11.9362931
Ebike Tour of Virajpet Coorg,2360.0,4.0,Virajpet City,3H,cycling,,
Rural Rumble Bicycle Tour in Udaipur Rajasthan,9780.0,4.0,Udaipur,2D/1N,cycling,,
Dehradun to Mussoorie Cycling Tour,2000.0,5.0,Dehradun,8H,cycling,,
Jaipur Night Cycling Tour-flat 26% off,1699.0,4.0,Jaipur,3H,cycling,,
Cycling Tour of Jaipur Flat 40% Off,1850.0,5.0,Jaipur,2H,cycling,,
Wayanad Cycling Tour Book  & Get Flat 15% Off,1300.0,5.0,Wayanad,8H,cycling,,
Cycling Tour in Jodhpur,500.0,4.0,Jodhpur,2H,cycling,,
Outskirt Cycling Tour in Udaipur,1999.0,4.0,Udaipur,4H,cycling,,
Downhill Cycling in Manali - Flat 23% Off,1999.0,5.0,Manali,5H,cycling,,
Royal E-Bike Tour in Jaipur Rajasthan,1700.0,4.0,Jaipur,2H,cycling,,
Hidden E-Bike Tour of Udaipur,1500.0,4.0,Udaipur,1H,cycling,,
Ebike Tour of Majestic Mysore flat 10 off,1770.0,4.0,Mysore,3H,cycling,76.5656493,12.3106368
Midnight Cycling Mumbai Tour,1500.0,4.0,Mumbai,1N,cycling,72.7411,19.0821978
E-bike Tour of Madikeri Coorg,2360.0,4.0,Madikeri,3H,cycling,,
Udaipur to Jhadol Cycling Tour,2000.0,4.0,Udaipur,3H,cycling,,
Cycling in the City of Udaipur,1999.0,4.0,Udaipur,2H,cycling,,
Nahargarh Cycling Expedition in Jaipur,1299.0,4.0,Jaipur,3H,cycling,75.8270798,26.9028105
Mountain Hike in Wayanad Kerala - Flat 15% Off,1500.0,5.0,Wayanad,7H,hiking,,
Jakhoo Hill Trek @ ₹300 Only | Book Online & Save 25%,300.0,5.0,Shimla,4H,hiking,,
Hampta Valley Day Hike,715.0,5.0,Manali,7H,hiking,,
Jalori Pass Trek,999.0,5.0,Shimla,6H,hiking,77.3554998,31.5372329
Nature Trail to Robber’s Cave Flat 28% off,250.0,5.0,Dehradun,2H,hiking,,
Border Hiking in Periyar Wildlife Sanctuary,1980.0,3.0,Periyar,9H,hiking,,
An Excursion to Spiti Himachal Pradesh,19999.0,4.0,,8D/7N,hiking,,
Mt Thingchinkhang,30000.0,3.0,,14D/13N,hiking,,
Grand Island Goa Scuba Diving,1599.0,4.0,"Goa, India",10H,scuba diving,,
Scuba Diving In Malvan,1099.0,4.0,Malvan,8H,scuba diving,,
Scuba Diving In Gokarna,4899.0,5.0,Gokarna,,scuba diving,,
Scuba Diving in Chennai,6249.0,4.0,Chennai,6H,scuba diving,,
Malvan Water Sports | Book Online & Save 20%,8250.0,5.0,Malvan,2D/1N,scuba diving,,
Scuba Diving in Male Maldives Flat 17% off,10280.0,4.0,Male,4H,scuba diving,,
Scuba Diving in Kuta Bali,1720.0,5.0,Kuta,,scuba diving,,
Scuba Diving in Fujairah,7999.0,4.0,Fujairah,4H,scuba diving,56.291874,25.1436311
Tulamben Wreck Diving Day Trip,8199.0,4.0,Kuta,10H,scuba diving,,
Scuba Diving Experience in Pondicherry,4499.0,4.0,Pondicherry,,scuba diving,,
Dawki Scuba Diving Book Online & Save ₹500,2800.0,5.0,,,scuba diving,,
Scuba Diving at Sao Gorge Island in Goa,3499.0,5.0,North Goa,7H,scuba diving,,
Tanzania Honeymoon Tour: a Romantic Retreat,72000.0,4.0,,9D/8N,scuba diving,,
Fiji Honeymoon Tour: an Island with a Romantic Extravaganza,45000.0,4.0,,8D/7N,scuba diving,,
Adventure Diving Course at Maldives,20413.0,4.0,,1D,scuba diving,,
Scuba Diving - Musundam,12042.0,3.0,Musandam,3H,scuba diving,,
Dive Master Cruise and Scuba Diving in Male,132800.0,4.0,Male,1D/1N,scuba diving,,
Snorkeling & Scuba Diving in Koh Chang Thailand | 22% off,1900.0,3.0,,8H,scuba diving,,
Scuba Diving Course in Maldives,21433.0,4.0,,2H,scuba diving,,
Scuba Diving in Mumbai,3500.0,4.0,Mumbai,,scuba diving,72.7411,19.0821978
Kasol Trip and Trek to Kheerganga from Delhi,1949.0,4.0,Kasol,3D/2N,trekking,76.8111596,28.6921165
Kasol Kheerganga Trek,5000.0,4.0,Kasol,3D/2N,trekking,77.3099273,32.009859
Kasol Camping with Chalal and Kheerganga Trek,1949.0,4.0,Kasol,3D/2N,trekking,77.3099273,32.009859
Laka Glacier Trek with Triund Mcleodganj,3100.0,4.0,Mcleodganj,3D/2N,trekking,,
Chopta Chandrashila Trek from Delhi,3499.0,4.0,Chopta,3D/2N,trekking,,
