title,price,rating,location,duration,category,lon,lat,distance,duration_hours,pref_score
Kayaking In Mumbai,300.0,4.0,Mumbai,,kayaking,73.2002087,18.4057277,79.59740055076844,,8.703151290312897
Kayaking in Chennai,1149.0,4.0,Chennai,1H,kayaking,80.0689252,13.0474878,1017.2981476777104,1.0,0.41923261019310143
Kayaking in Chikmagalur,499.0,4.0,Chikmagalur,2H,kayaking,75.737429,13.3131108,705.1894437937659,2.0,3.4686184334575474
Kayaking in Rishikesh @ 20% off | Book & Get 700 Cashback!,2400.0,4.0,Rishikesh,3H,kayaking,,,,3.0,-0.11629269047380775
Kayaking In Mysore,499.0,5.0,Mysore,,kayaking,76.7421082,12.2744216,857.1434237130237,,8.8791119492818
Kayaking in Bhimtal Book Online & Save 14%,300.0,5.0,Bhimtal,,kayaking,,,,,7.200533282008481
Kayaking in Nainital Book Online & Save 28%,250.0,4.0,Nainital,,kayaking,,,,,-0.2879110553662154
Kayaking in Dandeli,300.0,4.0,Dandeli,1H,kayaking,74.5997723,15.2361181,460.65998049486194,1.0,5.819153086188773
Kayaking in Mumbai,850.0,4.0,Mumbai,1H,kayaking,,,,1.0,0.26224352068564327
Backwater Kayaking in Munnar,499.0,4.0,Munnar,1H,kayaking,,,,1.0,0.34025146932134165
Kayaking in Coorg,350.0,4.0,Coorg,,kayaking,75.7173603,12.4314275,793.5369506955024,,2.0081522900742543
Canoeing in Alleppey I Book Online @ Flat 30% off,1350.0,5.0,Alleppey,3H,kayaking,,,,3.0,7.6166210015996585
Motorcycle Expedition in the Mystical Northeast,23999.0,5.0,Guwahati,5D/4N,kayaking,,,,120.0,0.5906820330795364
Stand Up Paddle Boarding & Sea Kayaking In Rameshwaram,6150.0,3.0,Rameswaram,2D/1N,kayaking,,,,48.0,-9.215542508695894
Adventure at Charan Beel,1699.0,3.0,Guwahati,6H,kayaking,,,,6.0,-7.511140617693553
Kathadi & Rameshwaram Tour Package,7655.0,4.0,Rameswaram,2D/1N,kayaking,,,,48.0,-2.050464454127299
Kayaking in Goas Baga Creek,1099.0,4.0,North Goa,1H,kayaking,,,,1.0,0.20690454857655793
Adventure Trio in Thekkady Bike Hike Kayak,4400.0,4.0,Thekkady,9H,kayaking,,,,9.0,-0.6629524239960327
Kayaking in Kovalam Kerala Flat 20% off,2350.0,4.0,Kovalam,,kayaking,,,,,-0.7546252779729585
Kayaking Class and Training Kochi Flat 25% off,1450.0,4.0,Kochi,,kayaking,,,,,-0.554604896855783
Rafting in Rishikesh,280.0,5.0,Rishikesh,2H,rafting,,,,2.0,7.871451343212235
Beach Camping in Rishikesh with Rafting,749.0,4.0,Rishikesh,2D/1N,rafting,,,,48.0,-0.5156413963548382
Rishikesh Camping With Rafting,1350.0,4.0,Rishikesh,2D/1N,rafting,,,,48.0,-0.6492105619675299
River Rafting in Kullu,299.0,4.0,Kullu,,rafting,77.0937828,31.9545843,1491.1811139909469,,-4.511842916304097
Arunachal Pradesh with Tawang Special Package 2022,19750.0,5.0,,8D/7N,rafting,,,,192.0,0.30896050434516376
Dubare River Rafting Coorg,249.0,4.0,Coorg,,rafting,,,,,-0.2876888104983075
Lake Rafting Near Mysore,128.0,5.0,Mysore,,rafting,76.5656493,12.3106368,844.5855589083316,,9.079131256253053
Bhadra River Rafting Chikmagalur,1200.0,4.0,Chikmagalur,1H,rafting,75.737429,13.3131108,705.1894437937659,1.0,3.329853114005105
Bhadra River Rafting,1200.0,5.0,Chikmagalur,1H,rafting,,,,1.0,7.684014397687948
Barapole River Rafting,790.0,4.0,Coorg,1H,rafting,,,,1.0,0.2755782127601216
Bhutan Rafting & Hiking Tour,81000.0,4.0,Paro,9D/8N,rafting,,,,216.0,-21.21177422661339
Trishuli River Rafting in Kathmandu Book @ Flat 20% off,2650.0,4.0,Kathmandu,2H,rafting,,,,2.0,-0.15482557449975454
Camping in Forests of Kullu: Rafting and Paragliding Special,1400.0,4.0,Kullu,2D/1N,rafting,,,,48.0,-0.6603228053629286
White Water Rafting in Queenstown Book Now @ Flat 10% off,10207.0,4.0,Queenstown,5H,rafting,,,,5.0,-1.885415040133445
Camping in Manali with Rafting,1080.0,5.0,Manali,2D/1N,rafting,,,,48.0,6.910352133137717
Jungle Camping in Rishikesh with Rafting,1230.0,4.0,Rishikesh,2D/1N,rafting,78.2005685,30.0876602,1336.3489737604016,48.0,-3.386047864021342
Camping in Rishikesh with Rafting,800.0,4.0,Rishikesh,2D/1N,rafting,,,,48.0,-0.5269758846181448
Dudhsagar Trek and Dandeli Rafting Tour,4900.0,4.0,Bangalore,2D/1N,rafting,,,,48.0,-1.4381798430408337
White Water Rafting at Ayung River Bali,1021.0,5.0,Kuta,5H,rafting,,,,5.0,7.655682897239289
Rishikesh Rafting Camp In Shivpuri,1050.0,4.0,Rishikesh,2D/1N,rafting,78.3805095,30.1347166,1348.4871450056426,48.0,-3.459681086672741
Camping In Auli,2550.0,4.0,Auli,3D/2N,camping,,,,72.0,-1.3245843942822142
Camping with Waterfall Trek and Paragliding,2350.0,4.0,,3D/2N,camping,,,,72.0,-1.2801354207006195
Pawna Lake Camping,900.0,4.0,Lonavala,2D/1N,camping,73.3834336,18.6596236,69.74111641403242,48.0,8.545248538369416
Nallamalai Jungle Camp Hyderabad,4000.0,5.0,Hyderabad,,camping,,,,,6.37822727074898
Igatpuri Camping,1199.0,4.0,Igatpuri,2D/1N,camping,,,,48.0,-0.615651586913426
Q Mango Forest Adventure Camp,1500.0,4.0,Ramanagara,2D/1N,camping,,,,48.0,-0.6825472921537259
Beach Camping in Rishikesh with Rafting,749.0,4.0,Rishikesh,2D/1N,camping,,,,48.0,-0.5156413963548382
Camping with Activities in Morena Gwalior Flat 50% off,1099.0,4.0,Gwalior,2D/1N,camping,,,,48.0,-0.5934271001226288
Bhandardara Camping,999.0,4.0,Bhandardara,2D/1N,camping,73.7203604,19.5454392,105.50032187486043,48.0,8.188469381837423
Kundalika Rafting Camp,1750.0,4.0,Kolad,2D/1N,camping,,,,48.0,-0.7381085091307191
Rishikesh Camping With Rafting,1350.0,4.0,Rishikesh,2D/1N,camping,,,,48.0,-0.6492105619675299
Nature Adventure Camp In Kanakapura,1050.0,4.0,Kanakpura,2D/1N,camping,77.4008796,12.5453979,868.328790694986,48.0,1.0355511285953891
Ramanagara Camping With Adventure Activities,1130.0,4.0,Bangalore,2D/1N,camping,77.2668972,12.714359,844.7110494595148,48.0,1.2388803260877987
Camping with Multiple Adventure Activities Gwalior Flat 50% off,1100.0,4.0,Gwalior,2D/1N,camping,,,,48.0,-0.5936493449905367
Suryanelli Camping Munnar,1100.0,4.0,Munnar,2D/1N,camping,,,,48.0,-0.5936493449905367
Adventure Camping in Bhopal,1500.0,4.0,Bhopal,2D/1N,camping,,,,48.0,-0.6825472921537259
Luxury Desert Camping In Jaisalmer,1840.0,4.0,Jaisalmer,2D/1N,camping,,,,48.0,-0.7581105472424366
Camping in Jaisalmer with Jeep Safari,1850.0,4.0,Jaisalmer,2D/1N,camping,70.8246899,26.9035615,894.5338779657213,48.0,0.6124237692517251
A Peaceful Stay in Mud Houses in Tirthan Valley,700.0,4.0,Kullu,,camping,,,,,-0.38792124592480326
Sam Desert Camping in Jaisalmer,1899.0,4.0,Jaisalmer,2D/1N,camping,,,,48.0,-0.771222994449007
Auli Skiing Special Tour,13000.0,4.0,Auli,3D/2N,skiing,79.5509492,30.5305165,1439.5177379517963,72.0,-7.376413707858745
Skiing in Auli Flat 26% off,615.0,5.0,Auli,,skiing,,,,,7.130526148617469
Narkanda Skiing | Book Online & Get 800 Cashback!,1200.0,4.0,Narkanda,2H,skiing,,,,2.0,0.16742948396680624
Skiing In Manali At Solang Valley,575.0,4.0,Manali,,skiing,,,,,-0.36014063743630675
Skiing In Kufri,1750.0,4.0,Shimla,1H,skiing,77.2501836,31.100357,1406.0020855161156,1.0,-3.353374485065376
Camping with Multiple Adventure Activities Gwalior Flat 50% off,1100.0,4.0,Gwalior,2D/1N,cycling,,,,48.0,-0.5936493449905367
Camping And Cycling Tour In Wayanad,3099.0,4.0,Wayanad,2D/1N,cycling,,,,48.0,-1.0379168359385746
Pondicherry Cycle Tour,1399.0,4.0,Pondicherry,3H,cycling,79.7785085,11.9362931,1081.269385581045,3.0,-0.2692826299682458
Ebike Tour of Virajpet Coorg,2360.0,4.0,Virajpet City,3H,cycling,,,,3.0,-0.10740289575748885
Rural Rumble Bicycle Tour in Udaipur Rajasthan,9780.0,4.0,Udaipur,2D/1N,cycling,,,,48.0,-2.5227347984317414
Dehradun to Mussoorie Cycling Tour,2000.0,5.0,Dehradun,8H,cycling,,,,8.0,7.3870201727042435
Jaipur Night Cycling Tour-flat 26% off,1699.0,4.0,Jaipur,3H,cycling,,,,3.0,0.03950096192968122
Cycling Tour of Jaipur Flat 40% Off,1850.0,5.0,Jaipur,2H,cycling,,,,2.0,7.522526900596718
Wayanad Cycling Tour Book  & Get Flat 15% Off,1300.0,5.0,Wayanad,8H,cycling,,,,8.0,7.542591580239824
Cycling Tour in Jodhpur,500.0,4.0,Jodhpur,2H,cycling,,,,2.0,0.3230008915023872
Outskirt Cycling Tour in Udaipur,1999.0,4.0,Udaipur,4H,cycling,,,,4.0,-0.04420083139375719
Downhill Cycling in Manali - Flat 23% Off,1999.0,5.0,Manali,5H,cycling,,,,5.0,7.438327416425291
Royal E-Bike Tour in Jaipur Rajasthan,1700.0,4.0,Jaipur,2H,cycling,,,,2.0,0.05630705001281977
Hidden E-Bike Tour of Udaipur,1500.0,4.0,Udaipur,1H,cycling,,,,1.0,0.11778435654546082
Ebike Tour of Majestic Mysore flat 10 off,1770.0,4.0,Mysore,3H,cycling,76.5656493,12.3106368,844.5855589083316,3.0,1.8640934332726156
Midnight Cycling Mumbai Tour,1500.0,4.0,Mumbai,1N,cycling,72.7411,19.0821978,13.374223864391547,24.0,9.348287247618462
E-bike Tour of Madikeri Coorg,2360.0,4.0,Madikeri,3H,cycling,,,,3.0,-0.10740289575748885
Udaipur to Jhadol Cycling Tour,2000.0,4.0,Udaipur,3H,cycling,,,,3.0,-0.02739474331061864
Cycling in the City of Udaipur,1999.0,4.0,Udaipur,2H,cycling,,,,2.0,-0.010144165491664192
Nahargarh Cycling Expedition in Jaipur,1299.0,4.0,Jaipur,3H,cycling,75.8270798,26.9028105,921.1858705549257,3.0,1.2516402912419409
Mountain Hike in Wayanad Kerala - Flat 15% Off,1500.0,5.0,Wayanad,7H,hiking,,,,7.0,7.515170939609276
Jakhoo Hill Trek @ ₹300 Only | Book Online & Save 25%,300.0,5.0,Shimla,4H,hiking,,,,4.0,7.832949779951983
Hampta Valley Day Hike,715.0,5.0,Manali,7H,hiking,,,,7.0,7.689633160917035
Jalori Pass Trek,999.0,5.0,Shimla,6H,hiking,77.3554998,31.5372329,1455.0413741945085,6.0,3.768841557869725
Nature Trail to Robber’s Cave Flat 28% off,250.0,5.0,Dehradun,2H,hiking,,,,2.0,7.878118689249475
Border Hiking in Periyar Wildlife Sanctuary,1980.0,3.0,Periyar,9H,hiking,,,,9.0,-7.6246764244288325
An Excursion to Spiti Himachal Pradesh,19999.0,4.0,,8D/7N,hiking,,,,192.0,-7.245935048534016
Mt Thingchinkhang,30000.0,3.0,,14D/13N,hiking,,,,336.0,-19.420242498202448
Grand Island Goa Scuba Diving,1599.0,4.0,"Goa, India",10H,scuba diving,,,,10.0,-0.05747288193684719
Scuba Diving In Malvan,1099.0,4.0,Malvan,8H,scuba diving,,,,8.0,0.08770621791923228
Scuba Diving In Gokarna,4899.0,5.0,Gokarna,,scuba diving,,,,,6.178429134499713
Scuba Diving in Chennai,6249.0,4.0,Chennai,6H,scuba diving,,,,6.0,-1.022798185904735
Malvan Water Sports | Book Online & Save 20%,8250.0,5.0,Malvan,2D/1N,scuba diving,,,,48.0,5.316856430237552
Scuba Diving in Male Maldives Flat 17% off,10280.0,4.0,Male,4H,scuba diving,,,,4.0,-1.8846105825396804
Scuba Diving in Kuta Bali,1720.0,5.0,Kuta,,scuba diving,,,,,6.884945569579159
Scuba Diving in Fujairah,7999.0,4.0,Fujairah,4H,scuba diving,56.291874,25.1436311,1836.4781547718603,4.0,-8.82337539157807
Tulamben Wreck Diving Day Trip,8199.0,4.0,Kuta,10H,scuba diving,,,,10.0,-1.5242890101294684
Scuba Diving Experience in Pondicherry,4499.0,4.0,Pondicherry,,scuba diving,,,,,-1.2322294991071923
Dawki Scuba Diving Book Online & Save ₹500,2800.0,5.0,,,scuba diving,,,,,6.644921112238548
Scuba Diving at Sao Gorge Island in Goa,3499.0,5.0,North Goa,7H,scuba diving,,,,7.0,7.070903448661238
Tanzania Honeymoon Tour: a Romantic Retreat,72000.0,4.0,,9D/8N,scuba diving,,,,216.0,-19.21157041544163
Fiji Honeymoon Tour: an Island with a Romantic Extravaganza,45000.0,4.0,,8D/7N,scuba diving,,,,192.0,-12.802278991101248
Adventure Diving Course at Maldives,20413.0,4.0,,1D,scuba diving,,,,24.0,-4.4771844880721
Scuba Diving - Musundam,12042.0,3.0,Musandam,3H,scuba diving,,,,3.0,-9.758734287612578
Dive Master Cruise and Scuba Diving in Male,132800.0,4.0,Male,1D/1N,scuba diving,,,,24.0,-29.45461845764545
Snorkeling & Scuba Diving in Koh Chang Thailand | 22% off,1900.0,3.0,,8H,scuba diving,,,,8.0,-7.589868502045148
Scuba Diving Course in Maldives,21433.0,4.0,,2H,scuba diving,,,,2.0,-4.32925092841521
Scuba Diving in Mumbai,3500.0,4.0,Mumbai,,scuba diving,72.7411,19.0821978,13.374223864391547,,8.611947672879943
Kasol Trip and Trek to Kheerganga from Delhi,1949.0,4.0,Kasol,3D/2N,trekking,76.8111596,28.6921165,1140.9412025160334,72.0,-2.1251185513246207
Kasol Kheerganga Trek,5000.0,4.0,Kasol,3D/2N,trekking,77.3099273,32.009859,1503.2957335067804,72.0,-6.195542991156367
Kasol Camping with Chalal and Kheerganga Trek,1949.0,4.0,Kasol,3D/2N,trekking,77.3099273,32.009859,1503.2957335067804,72.0,-5.517473899169142
Laka Glacier Trek with Triund Mcleodganj,3100.0,4.0,Mcleodganj,3D/2N,trekking,,,,72.0,-1.446819071631599
Chopta Chandrashila Trek from Delhi,3499.0,4.0,Chopta,3D/2N,trekking,,,,72.0,-1.5354947739268803
Bhrigu Lake Trek Manali,5299.0,4.0,Manali,4D/3N,trekking,77.1671552,32.2530277,1524.8270385481903,96.0,-6.87224981350928
Kareri Lake Trek Mcleodganj,2600.0,4.0,Mcleodganj,3D/2N,trekking,76.323765,32.2474155,1502.586287333333,72.0,-5.655513488316661
Indrahar Pass Trek Mcleodganj,6499.0,4.0,Mcleodganj,4D/3N,trekking,76.2980746,32.2450183,1501.7384834237257,96.0,-6.922789097095775
Trek to Bhrigu Lake Manali,3999.0,4.0,Manali,3D/2N,trekking,77.1696102,32.2394708,1523.4622755769592,72.0,-6.161874612736728
Sandakphu Trek,9250.0,4.0,Jalpaiguri,6D/5N,trekking,,,,144.0,-4.039664981740982
Goechala Trek Sikkim,15200.0,4.0,Gangtok,10D/9N,trekking,88.6116862,26.5324332,1814.7683042281913,240.0,-14.239200106644102
Chidiya Bhadak Waterfall Trek Indore,650.0,5.0,Indore,12H,trekking,,,,12.0,7.6189374125758205
Snow Leopard Trek 2022 Ladakh | Book Now @ Flat 20% off,48600.0,4.0,Leh,8D/7N,trekking,,,,192.0,-13.60236051556995
Sar Pass Circuit Trek from Kasol Himachal Pradesh,5299.0,4.0,Kasol,3D/2N,trekking,,,,72.0,-1.9355355361612314
Kanchenjunga Base Camp Trek from Darjeeling 2022,14700.0,5.0,,11D/10N,trekking,,,,264.0,0.20525711480507747
Camping by Tea Gardens Ooty,2199.0,5.0,Ooty,2D/1N,trekking,76.658402,11.4118505,938.1454912648805,48.0,7.626125902738222
Nagalapuram Camping Experience With Waterfall Trek,1850.0,4.0,Chennai,2D/1N,trekking,76.6445517,11.0621266,972.6428982851289,48.0,-0.1188312038017373
Kedarkantha Trek Uttarakhand,4950.0,4.0,Dehradun,6D/5N,trekking,77.8770494,30.3253538,1347.675582892103,144.0,-5.953558207712634
Brahmatal Trek Uttarakhand,5999.0,4.0,Kathgodam,6D/5N,trekking,79.5204824,29.2604869,1317.162844111884,144.0,-5.901033468083719
8 Days Meghalaya Adventure Package With Trekking Tour,27800.0,5.0,Shillong,8D/7N,trekking,91.5627973,26.1429809,2074.144518317986,192.0,-11.150843433421972
Camping with Waterfall Trek and Paragliding,2350.0,4.0,,3D/2N,paragliding,,,,72.0,-1.2801354207006195
Kamshet Paragliding,2999.0,4.0,Kamshet,,paragliding,73.5381673,18.7644399,77.76820764919735,,8.120437256543728
Powered Paragliding In Rishikesh,4200.0,4.0,Rishikesh,,paragliding,78.2005685,30.0876602,1336.3489737604016,,-3.929284969805477
